15.03.2015 21:50;16.03.2015 04:51;82%;07:00;:);;62;0
16.03.2015 21:48;17.03.2015 05:21;75%;07:32;:);Drank coffee:Drank tea;54;0
17.03.2015 23:57;18.03.2015 08:01;91%;08:03;:);Drank coffee:Drank tea:Worked out;62;0
21.03.2015 01:10;21.03.2015 08:00;74%;06:49;:);Drank coffee;66;0
22.03.2015 23:07;23.03.2015 07:30;75%;08:22;:);Drank coffee:Drank tea;65;0
24.03.2015 22:11;25.03.2015 06:19;84%;08:07;:);Drank coffee;58;0
25.03.2015 22:00;26.03.2015 05:22;76%;07:22;:);Drank coffee:Drank tea:Worked out;;0
26.03.2015 21:23;27.03.2015 05:26;92%;08:03;:);Drank tea:Worked out;54;0
30.03.2015 22:30;31.03.2015 05:28;82%;06:57;:);Drank coffee:Worked out;64;0
31.03.2015 22:17;01.04.2015 05:50;84%;07:32;:);Drank coffee:Drank tea:Worked out;55;0
04.04.2015 23:13;05.04.2015 07:31;95%;08:17;:);Drank coffee:Drank tea;;0
06.04.2015 21:22;07.04.2015 06:15;79%;08:53;:);Drank coffee:Drank tea;55;0
07.04.2015 21:17;08.04.2015 06:18;100%;09:01;:);Drank tea;51;0
08.04.2015 22:09;09.04.2015 05:02;81%;06:52;:);Drank tea;52;0
09.04.2015 21:56;10.04.2015 05:23;80%;07:27;:);Drank coffee:Drank tea:Worked out;;0
10.04.2015 23:51;11.04.2015 07:41;85%;07:50;:);Drank tea:Worked out;;0
11.04.2015 23:16;12.04.2015 06:53;97%;07:36;:);Drank coffee:Drank tea;52;0
12.04.2015 22:04;13.04.2015 05:41;84%;07:36;:);Drank coffee:Drank tea;58;0
13.04.2015 22:19;14.04.2015 05:45;78%;07:25;:);Drank tea:Worked out;57;0
15.04.2015 00:28;15.04.2015 07:30;81%;07:01;:);Drank coffee:Drank tea:Worked out;63;0
16.04.2015 23:20;17.04.2015 06:20;82%;06:59;:);Drank coffee:Drank tea;58;0
17.04.2015 23:50;18.04.2015 07:22;59%;07:32;:);Drank coffee:Drank tea:Stressful day:Worked out;53;0
20.04.2015 22:37;21.04.2015 06:18;77%;07:40;:);Drank coffee:Drank tea;58;0
22.04.2015 21:31;23.04.2015 05:11;77%;07:39;:);Drank coffee:Drank tea:Stressful day;67;0
23.04.2015 21:46;24.04.2015 05:13;87%;07:26;:);Drank coffee:Drank tea:Stressful day:Worked out;;0
25.04.2015 22:53;26.04.2015 07:53;100%;09:00;:);Drank coffee:Drank tea;61;0
26.04.2015 21:51;27.04.2015 04:59;70%;07:07;:);Ate late:Drank coffee:Drank tea;64;0
27.04.2015 21:35;28.04.2015 04:57;77%;07:21;:);Drank tea:Worked out;59;0
28.04.2015 21:41;29.04.2015 05:00;53%;07:18;:);Drank coffee:Worked out;59;0
30.04.2015 23:13;01.05.2015 06:06;77%;06:52;:);Drank coffee:Drank tea:Stressful day;60;0
01.05.2015 22:20;02.05.2015 06:07;65%;07:46;:);Drank coffee:Worked out;91;0
05.05.2015 22:23;06.05.2015 06:18;83%;07:54;:);Drank coffee:Drank tea:Worked out;62;0
06.05.2015 21:47;07.05.2015 05:21;50%;07:34;:);Ate late:Drank coffee:Drank tea:Worked out;59;0
07.05.2015 21:22;08.05.2015 04:57;89%;07:34;:);Drank tea:Worked out;54;0
09.05.2015 01:58;09.05.2015 07:01;61%;05:03;:);Drank coffee:Drank tea:Stressful day:Worked out;75;0
10.05.2015 22:11;11.05.2015 05:00;66%;06:48;:);Drank coffee:Drank tea:Worked out;50;0
11.05.2015 21:57;12.05.2015 05:00;75%;07:03;:);Drank tea:Worked out;55;0
12.05.2015 22:04;13.05.2015 04:52;72%;06:47;:);Drank tea:Worked out;59;0
14.05.2015 22:49;15.05.2015 06:17;79%;07:28;:);Drank coffee:Drank tea;51;0
17.05.2015 21:03;18.05.2015 07:49;93%;10:46;:);Drank tea:Stressful day;59;0
18.05.2015 22:39;19.05.2015 06:20;91%;07:41;:);;59;0
20.05.2015 22:22;21.05.2015 05:25;59%;07:02;:);Drank tea:Worked out;62;0
21.05.2015 22:47;22.05.2015 05:25;74%;06:38;:);Drank coffee:Drank tea:Worked out;60;0
24.05.2015 00:01;24.05.2015 07:35;73%;07:33;:);Drank coffee:Worked out;;0
24.05.2015 22:58;25.05.2015 06:45;67%;07:47;:);Drank coffee:Drank tea;61;0
25.05.2015 22:05;26.05.2015 05:29;85%;07:23;:);Drank coffee:Drank tea;;0
26.05.2015 22:18;27.05.2015 05:14;69%;06:56;:);Drank coffee:Drank tea:Worked out;;0
28.05.2015 23:10;29.05.2015 07:00;81%;07:49;:);Drank coffee:Drank tea:Worked out;52;0
31.05.2015 23:16;01.06.2015 06:20;72%;07:03;:);Drank coffee;76;0
01.06.2015 22:20;02.06.2015 06:19;76%;07:59;:);Drank coffee:Drank tea:Worked out;57;0
03.06.2015 22:19;04.06.2015 05:20;78%;07:00;:);Drank coffee:Drank tea;64;0
04.06.2015 22:20;05.06.2015 03:45;70%;05:25;:(;Drank coffee:Drank tea:Worked out;;0
05.06.2015 03:45;05.06.2015 05:41;23%;01:55;:);;57;0
07.06.2015 22:01;08.06.2015 05:40;75%;07:39;:);Drank coffee;58;0
08.06.2015 21:57;09.06.2015 05:16;69%;07:19;:);Drank coffee:Drank tea:Worked out;;0
09.06.2015 21:07;10.06.2015 05:01;83%;07:54;:);Drank coffee:Drank tea:Worked out;;0
10.06.2015 21:12;11.06.2015 06:17;92%;09:04;:);Drank tea:Stressful day:Worked out;68;0
11.06.2015 22:54;12.06.2015 06:19;74%;07:25;:);Drank coffee:Worked out;;0
14.06.2015 22:38;15.06.2015 06:12;81%;07:34;:);Drank coffee:Drank tea;;0
15.06.2015 22:31;16.06.2015 06:20;88%;07:48;:);Drank coffee:Drank tea:Worked out;64;0
16.06.2015 22:21;17.06.2015 06:20;69%;07:59;:);Drank coffee:Drank tea:Stressful day:Worked out;;0
17.06.2015 21:28;18.06.2015 05:00;63%;07:31;:);Drank coffee;;0
18.06.2015 22:26;19.06.2015 04:46;71%;06:20;:);Drank coffee:Worked out;;0
22.06.2015 21:54;23.06.2015 05:07;78%;07:13;:);Drank coffee:Worked out;;0
23.06.2015 22:09;24.06.2015 04:57;76%;06:48;:);Drank coffee:Drank tea:Worked out;;0
24.06.2015 04:58;24.06.2015 05:45;10%;00:46;:);;;0
24.06.2015 22:37;25.06.2015 06:20;82%;07:43;:);Drank coffee:Stressful day:Worked out;58;0
11.07.2015 22:29;12.07.2015 08:00;98%;09:31;:);Drank coffee:Stressful day;69;0
19.07.2015 21:38;20.07.2015 06:09;69%;08:31;:);Drank coffee;74;0
20.07.2015 22:01;21.07.2015 05:04;68%;07:03;:);Drank coffee:Drank tea:Worked out;;0
21.07.2015 22:02;22.07.2015 05:45;79%;07:42;:);Drank coffee:Drank tea:Worked out;67;0
23.07.2015 22:29;24.07.2015 06:44;86%;08:14;:);Drank coffee:Stressful day:Worked out;;0
26.07.2015 22:29;27.07.2015 06:20;93%;07:50;:);Drank coffee:Worked out;58;0
28.07.2015 21:32;29.07.2015 05:39;68%;08:07;:);Drank coffee:Drank tea:Stressful day:Worked out;58;0
29.07.2015 23:06;30.07.2015 05:40;71%;06:34;:);Drank coffee:Drank tea:Worked out;61;0
30.07.2015 21:40;31.07.2015 05:40;88%;08:00;:);Drank coffee:Worked out;64;0
01.08.2015 01:41;01.08.2015 08:31;77%;06:49;:);Drank coffee:Drank tea:Worked out;64;0
01.08.2015 22:55;02.08.2015 08:02;97%;09:06;:);Drank coffee:Worked out;;0
02.08.2015 23:45;03.08.2015 00:00;3%;00:15;:|;Drank coffee:Worked out;;0
03.08.2015 00:26;03.08.2015 07:25;88%;06:59;:);Drank coffee:Worked out;68;0
03.08.2015 21:46;04.08.2015 05:00;71%;07:14;:);Drank coffee:Stressful day:Worked out;;0
04.08.2015 21:17;05.08.2015 04:55;81%;07:38;:);Drank coffee:Drank tea:Worked out;;0
05.08.2015 21:35;06.08.2015 04:55;78%;07:19;:);Drank coffee:Drank tea:Worked out;57;0
08.08.2015 00:19;08.08.2015 07:56;97%;07:37;:);Drank coffee:Worked out;54;0
10.08.2015 00:01;10.08.2015 05:03;65%;05:02;:);Drank coffee;;0
10.08.2015 21:11;11.08.2015 06:09;72%;08:58;:);Drank coffee:Drank tea:Worked out;50;0
15.08.2015 23:41;16.08.2015 07:27;84%;07:46;:);Drank coffee;;0
16.08.2015 21:44;17.08.2015 04:45;58%;07:00;:);Drank coffee;56;0
17.08.2015 22:13;18.08.2015 05:27;85%;07:14;:);Drank coffee:Drank tea:Worked out;;0
18.08.2015 22:33;19.08.2015 06:45;90%;08:12;:);Drank coffee:Drank tea:Worked out;57;0
19.08.2015 21:48;20.08.2015 06:01;79%;08:12;:);Drank coffee:Worked out;51;0
20.08.2015 22:36;21.08.2015 06:00;69%;07:23;:);Drank coffee;58;0
21.08.2015 21:52;22.08.2015 06:00;88%;08:07;:);Drank coffee:Stressful day;;0
22.08.2015 21:59;23.08.2015 05:49;90%;07:49;:);Drank coffee;52;0
23.08.2015 21:59;24.08.2015 05:29;83%;07:30;:);Ate late:Drank coffee:Drank tea;52;0
25.08.2015 21:57;26.08.2015 05:45;67%;07:48;:);Drank coffee;;0
26.08.2015 21:14;27.08.2015 05:45;90%;08:30;:);Drank coffee:Stressful day;;0
27.08.2015 21:19;28.08.2015 05:45;93%;08:26;:|;;60;0
28.08.2015 22:01;29.08.2015 06:00;85%;07:59;:);Drank coffee:Drank tea;62;0
30.08.2015 22:00;31.08.2015 06:00;84%;08:00;:);Drank coffee;66;0
31.08.2015 22:14;01.09.2015 06:00;77%;07:46;:);Drank coffee;;0
01.09.2015 22:00;02.09.2015 06:00;85%;07:59;:);Drank tea;65;0
02.09.2015 23:36;03.09.2015 07:10;77%;07:33;:);Drank coffee;57;0
05.09.2015 22:54;06.09.2015 06:59;87%;08:04;:);Drank coffee;;0
